English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish,Hungarian,Basque,Finnish,Estonian,Czech,Slovak,Hmong,Polish,Lingala,Igbo,Yoruba,Malay,Sundanese,Northern Uzbek,Algerian Arabic,Moroccan Arabic,Sindhi,Saraiki,Jin,Min Nan,Hakka,Xiang,Mongolian,Burmese,Odia,Nepali,Malayalam,Ukrainian,Greek
one,አንድ (and),واحد (wāḥid),طَيَا (ɗaya),واحد (wāḥed),وَاحِد (wāḥid),واحد (wāḥid),𠬠 (một),satu,ꦱꦶꦗꦶ (siji),ᜁᜐ (isa),ಒಂದು (ondu),ஒன்று (oṉṟu),ఒకటి (okaṭi),এক (ek),एक (ek),one,un,એક (eka),एक (ek),یک (yek),uno,एक (ek),um,оди́н (odín),uno,eins,ایک (ek),اِکّ (īkk),一 (hito),하나 (hana),หนึ่ง (nueng),مُوجَا (moja),一 (yī),一 (iq),一 (yāt),بر (bir),𐲈𐲎 (egy),bat,yski,üks,jeden,jeden,𖬜𖬰𖬖 (ib),jeden,mɔ́kɔ,otu,عُوكَنْ (ọ̀kan),ساتو (satu),ᮠᮤᮏᮤ (hiji),бир (bir),واحد (wāḥəd),واحد (wāḥəd),هڪ (hiku),ہک (hik),一 (iěq),一 (chi̍t),一 (yit),一 (yī),ᠨᠢᠭᠡ (nige),တစ် (thit),ଏକ (eka),एक (ek),ഒന്ന് (onnŭ),один (odyn),ένας (énas)
two,ሁለት (hulätt),اتنين (itnēn),بِيُ (biyu),تنين (tnēn),اِثْنَان (ithnān),تنين (tinēn),𠄩 (hai),dua,ꦭꦺꦴꦫꦺꦴ (loro),ᜇᜎᜏ (dalawa),ಎರಡು (eraḍu),இரண்டு (iraṇṭu),రెండు (reṇḍu),দুই (dui),दु (du),two,deux,બે (be),दो (do),دو (do),due,दोन (don),dois,два (dva),dos,zwei,دو (do),دو (do),二 (futa),둘 (dul),สอง (song),مبِيلِ (mbili),二 (èr),兩 (lian),二 (yìh),ایکی (iki),𐲗𐲈𐲦𐲦𐲠 (kettő),bi,kaksi,kaks,dva,dva,𖬪𖬰𖬖 (ob),dwa,míbalé,abụọ,مَٜیجِی (méjì),دوا (dua),ᮓᮥᮃ (dua),икки (ikki),زوج (zūž),جوج (žūž),ٻه (b̤a),ݙو (d̤ō),兩 (liàng),兩 (nn̄g),二 (ngi),兩 (liǎng),ᠬᠣᠶᠠᠷ (khoyar),နှစ် (hnit),ଦୁଇ (dui),दुई (duī),രണ്ട് (raṇṭŭ),два (dva),δυο (dyo)
big,ትልቅ (təlləq),كبير (kabīr),بَبَّا (babba),كبير (kbīr),كَبِير (kabīr),كبير (kabīr),𡘯 (lớn),besar,ꦒꦼꦝꦺ (gedhé),᜙ᜎᜃᜒ (malaki),ದೊಡ್ಡ (doḍḍa),பெரிய (periya),పెద్ద (pedda),বড় (boṛ),बड़ (baṛ),big,grand,મોટું (moṭũ),बड़ा (baṛā),بزرگ (bozorg),grande,मोठं (moṭhaṁ),grande,большо́й (bolʹšój),grande,groß,بڑا (baṛā),وَڈّا (vaḍḍā),大きい (ōkii),크다 (keuda),ใหญ่ (yai),كُبوا (kubwa),大 (dà),大 (du),大 (dàaih),بويوك (büyük),𐲛𐲀𐲎 (nagy),handi,iso,suur,velký,veľký,𖬪𖬵𖬭 (loj),duży,monɛ́nɛ,nnukwu,نْلَا (ńlá),بسر (besar),ᮌᮨᮓᮦ (gedé),катта (katta),كبير (kbīr),كبير (kbīr),وڏو (wad̤o),وݙّا (wad̤d̤ā),大 (dá),大 (toā),大 (thai),大 (tá),ᠶᠡᠬᠡ (yeke),ကြီး (chi),ବଡ଼ (baṛa),ठूलो (ṭhūlo),വലിയ (valiya),великий (velykyj),μεγάλος (megálos)
long,ረጅም (räğğəm),طويل (ṭawīl),دُوݢُو (dogo),طويل (ṭawīl),طَوِيل (ṭawīl),طويل (ṭawīl),𨱽 (dài),panjang,ꦢꦮ (dawa),᜙ᜑᜊ (mahaba),ಉದ್ದ (udda),நீளமான (nīḷamāṉa),పొడవైన (poḍavaina),লম্বা (lomba),लँहर (lãhar),long,long,લાંબું (lā̃bũ),लम्बा (lambā),دراز (derâz),lungo,लांब (lāmb),longo,дли́нный (dlínnyj),largo,lang,لمبا (lambā),لَمّا (lammā),長い (nagai),길다 (gilda),ยาว (yao),نديفُ (ndefu),長 (cháng),長 (zaon),長 (chèuhng),اوزون (uzun),𐲏𐲝𐲤𐲤𐲩 (hosszú),luze,pitkä,pikk,dlouhý,dlhý,𖬖𖬰𖬦𖬵 (ntev),długi,molaí,ogologo,غُنْ (gùn),ڤنجڠ (panjang),ᮕᮔ᮪ᮏᮀ (panjang),узун (uzun),طويل (ṭwīl),طويل (ṭwīl),ڊگهو (ḍigho),لمّا (lammā),長 (qiāng),長 (tn̂g),長 (chhòng),長 (cáng),ᠤᠷᠲᠤ (urtu),ရှည် (she),ଲମ୍ବା (lambā),लामो (lāmo),നീളമുള്ള (nīḷamuḷḷa),довгий (dovhyj),μακρύς (makrýs)
small,ትንሽ (tənnəš),صغيّر (ṣughayyar),قَرَمِي (ƙarami),صغير (ẓghīr),صَغِير (ṣaghīr),صغير (ṣughayyar),𡮈 (nhỏ),kecil,ꦕꦶꦭꦶꦏ꧀ (cilik),᜙ᜎᜒᜁᜆ᜔ (maliit),ಚಿಕ್ಕ (cikka),சின்ன (ciṉṉa),చిన్న (cinna),ছোট (chōṭ),छोट (choṭ),small,petit,નાનું (nānũ),छोटा (choṭā),کوچک (kuček),piccolo,लहान (lahān),pequeno,ма́ленький (málenʹkij),pequeño,klein,چھوٹا (choṭā),نِکّا (nikkā),小さい (chīsai),작다 (jakda),เล็ก (lek),ندُوقُو (ndogo),小 (xiǎo),小 (shiau),細 (sāai),كوچوك (küçük),𐲗𐲒𐲄𐲒 (kicsi),txiki,pieni,väike,malý,malý,𖬖𖬚 (me),mały,mokɛ́,obere,كَٜیرَٜی (kéré),كچيل (kecil),ᮜᮩᮒᮤᮊ᮪ (leutik),кичик (kichik),صغير (ṣġīr),صغير (ṣġīr),ننڍو (nanḍho),نکّا (nikkā),小 (xiào),細 (sè),細 (se),細 (xì),ᠪᠠᠭᠠ (bagha),ငယ် (nge),ଛୋଟ (choṭa),सानो (sāno),ചെറിയ (ceṟiya),малий (malyj),μικρός (mikrós)
woman,ሴት (set),ست (sitt),مَچِي (mace),مرة (mara),اِمْرَأَة (imraʾa),مرة (mara),𡗶婆 (đàn bà),perempuan,ꦮꦢꦺꦴꦤ꧀ (wadon),ᜊᜊᜄᜒ (babae),ಹೆಂಗಸು (heṅgasu),பெண் (peṇ),ఆడది (āḍadi),নারী (nāri),मेहरारू (mehrārū),woman,femme,બાઈડી (bāīḍī),औरत (aurat),زن (zan),donna,बाई (bāī),mulher,же́нщина (žénščina),mujer,Frau,عورت (aurat),زَنانی (zanānī),女 (onna),여자 (yeoja),หญิง (ying),مْوَانَمْكِي (mwanamke),女人 (nǚrén),女人 (gniu gnin),女人 (néuih yán),قادين (kadın),𐲛𐲜 (nő),emakume,nainen,naine,žena,žena,𖬪𖬰𖬤𖬵𖬬𖬰𖬕𖬵 (pojniam),kobieta,mwǎsí,nwaanyị,عُواْبِنْرِنْ (obìnrin),ڤرمڤوان (perempuan),ᮃᮝᮦᮝᮦ (awéwé),аёл (ayol),مرا (mra),مرا (mṛa),زال (zāla),تریمت (trēmat),女人 (ny̌ rēng),查某 (cha-bó͘),婦人家 (fu-ngiàng-kâ),堂客 (táng-kè),ᠡᠮᠡᠭᠲᠡᠢ (emegtei),မိန်းမ (mein-ma),ସ୍ତ୍ରୀ (strī),स्वास्नीमान्छे (swāsnīmānche),പെണ്ണ് (peṇṇŭ),жінка (žinka),γυναίκα (gynaíka)
man,ወንድ (wänd),راجل (rāgil),نَمِجِي (namiji),زلمة (zalame),رَجُل (rajul),راجل (rājil),𡗶翁 (đàn ông),lelaki,ꦭꦤꦁ (lanang),ᜎᜎᜃᜒ (lalaki),ಗಂಡಸು (gaṇḍasu),ஆள் (āḷ),మగవాడు (magavāḍu),পুরুষ (puruś),मरद (marad),man,homme,માણસ (māṇas),आदमी (ādmī),مرد (mard),uomo,पुरुष (puruṣ),homem,мужчи́на (mužčína),varón,Mann,آدمی (ādmī),جَݨا (jaṇā),男 (otoko),남자 (namja),ชาย (chai),مْوَانَمُمِي (mwanamume),男人 (nánrén),男人 (noe gnin),男人 (nàahm yán),اركك (erkek),𐲊𐲋𐲣𐲊𐲒 (férfi),gizon,mies,mees,muž,muž,𖬜𖬰𖬝𖬖𖬰𖬕𖬵 (txiv neej),mężczyzna,mobáli,nwoke,عُوكُنْرِنْ (ọkùnrin),للاكي (lelaki),ᮜᮜᮊᮤ (lalaki),эркак (erkak),راجل (rāžəl),راجل (ṛāžəl),مڙس (muṛsu),مرد (mard),男人 (nán rēng),查埔 (cha-po͘),男人家 (nàm-ngìn-kâ),男人 (lán-yín),ᠡᠷ᠎ᠡ (ere),ယောက်ျား (yauk-cha),ପୁରୁଷ (puruṣa),लोग्नेमान्छे (lognemānche),പുരുഷൻ (puruṣaṉ),чоловік (čolovik),άντρας (ántras)
person,ሰው (säw),انسان (insān),مُتُمْ (mutum),إنسان (insān),إِنْسَان (insān),زول (zōl),𠊛 (người),manusia,ꦮꦺꦴꦁ (wong),ᜆᜓ (tao),ಮನುಷ್ಯ (manuṣya),மனிதன் (maṉitaṉ),మనిషి (maniṣi),মানুষ (manuś),मानुस (mānus),person,personne,વ્યક્તિ (vyakti),इंसान (insān),انسان (ensân),persona,माणूस (māṇūs),pessoa,челове́к (čelovék),hombre,Mensch,انسان (insān),انسان (insān),人 (hito),사람 (saram),คน (khon),مْتُ (mtu),人 (rén),人 (gnin),人 (yàhn),كیشی (kişi),𐲈𐲚𐲂𐲈𐲣 (ember),gizaki,ihminen,inimene,člověk,človek,𖬖𖬰𖬕𖬵 (neeg),człowiek,moto,mmadụ,عَٜنِیَنْ (ènìyàn),اورڠ (orang),ᮏᮜ᮪ᮙ (jalma),одам (odam),بنادم (bnādəm),بنادم (bnādəm),ماڻهو (māṇhū),بندہ (bandā),人 (rēng),人 (lâng),人 (ngìn),人 (yín),ᠬᠦᠮᠦᠨ (kümün),လူ (lu),ମଣିଷ (maṇiṣa),मान्छे (mānche),മനുഷ്യൻ (manuṣyaṉ),людина (ljudyna),άνθρωπος (ánthropos)
fish,ዓሣ (asa),سمكة (samaka),كِيفِي (kifi),سمكة (samake),سمكة (samakah),حوت (ḥūt),𩵜 (cá),ikan,ꦲꦶꦮꦏ꧀ (iwak),ᜁᜐ᜔ᜇ (isda),ಮೀನು (mīnu),மீன் (mīṉ),చేప (cēpa),মাছ (mach),मछरी (machrī),fish,poisson,માછલી (māchlī),मछली (machlī),ماهی (mâhi),pesce,मासा (māsā),peixe,ры́ба (rýba),pez,Fisch,مچھلی (machlī),مچھی (macchī),魚 (uo),물고기 (mulgogi),ปลา (pla),سَمَكِ (samaki),魚 (yú),魚 (ng),魚 (yú),بالیق (balık),𐲏𐲀𐲘 (hal),arrain,kala,kala,ryba,ryba,𖬖𖬰𖬝𖬵 (ntses),ryba,mbísi,azụ,عَِجَا (ẹja),ايكن (ikan),ᮜᮅᮊ᮪ (lauk),балиқ (baliq),حوتة (ḥūta),حوتة (ḥūta),مڇي (machī),مچّھی (macchī),魚 (yū),魚 (hî),魚仔 (ngì-é),魚 (yǐ),ᠵᠠᠭᠠᠰᠤ (jaghasu),ငါး (nga),ମାଛ (mācha),माछा (māchā),മീൻ (mīṉ),риба (ryba),ψάρι (psári)
bird,ወፍ (wäf),طير (ṭayr),صُنْصُو (tsuntsu),عصفور (ʿaṣfūr),طَائِر (ṭāʾir),طير (ṭēr),𦀇 (chim),burung,ꦩꦠꦸꦏ꧀ (manuk),ᜁᜊᜓᜈ᜔ (ibon),ಹಕ್ಕಿ (hakki),பறவை (paṟavai),పక్షి (pakṣi),পাখি (pakhi),चिड़ईं (chiṛaī̃),bird,oiseau,પંખી (paṅkhī),चिड़िया (ciṛiyā),پرنده (parande),uccello,पक्षी (pakṣī),pássaro,пти́ца (ptíca),pájaro,Vogel,چڑیا (ciṛiyā),پنچھی (pañchī),鳥 (tori),새 (sae),นก (nok),نديقِي (ndege),鳥 (niǎo),鳥 (gniau),雀 (jeuk),قوش (kuş),𐲚𐲀𐲅𐲁𐲣 (madár),txori,lintu,lind,pták,vták,𖬪𖬰𖬦𖬵 (noog),ptak,ndɛkɛ,nnụnụ,عَِیَِـی (ẹyẹ),بوروڠ (burung),ᮙᮔᮥᮊ᮪ (manuk),қуш (qush),طير (ṭīr),طير (ṭīr),پکي (pakhī),پکھی (pakhī),雀兒 (qiěq'er),鳥 (chiáu),鳥仔 (tiáu-é),鳥子 (diǎo-tsǐ),ᠰᠢᠪᠠᠭᠤ (sibaghu),ငှက် (hnget),ଚଢ଼େଇ (caṛhei),चरा (carā),കിളി (kiḷi),птах (ptax),πουλί (poulí)
dog,ውሻ (wəšša),كلب (kalb),كَرِي (kare),كلب (kalb),كَلْب (kalb),كلب (kalib),𡥙 (chó),anjing,ꦲꦱꦸ (asu),ᜀᜐᜓ (aso),ನಾಯಿ (nāyi),நாய் (nāy),కుక్క (kukka),কুকুর (kukur),कुकुर (kukur),dog,chien,કુતરો (kutro),कुत्ता (kuttā),سگ (sag),cane,कुत्रा (kutrā),cão,соба́ка (sobáka),perro,Hund,کتا (kuttā),کتا (kuttā),犬 (inu),개 (gae),หมา (ma),مبوا (mbwa),狗 (gǒu),狗 (keu),狗 (gáu),كوپك (köpek),𐲖𐲨𐲦𐲧𐲀 (kutya),txakur,koira,koer,pes,pes,𖬇𖬰𖬚 (dev),pies,mbwá,nkịta,أَجَا (ajá),انجيڠ (anjing),ᮃᮑ᮪ᮏᮤᮀ (anjing),ит (it),كلب (kəlb),كلب (kəlb),ڪتو (kuto),کُتّا (kuttā),狗 (gòu),狗 (káu),狗 (kiéu),狗子 (gǒu-tsǐ),ᠨᠣᠬᠠᠢ (nokhai),ခွေး (khwe),କୁକୁର (kukura),कुकुर (kukur),പട്ടി (paṭṭi),пес (pes),σκύλος (skýlos)
louse,ቅማል (qəmal),قملة (ʾamla),كْوَرْكْوَا (kwarkwa),قملة (ʾamle),قملة (qamlah),قملة (gamla),𧔗 (rận),kutu,ꦠꦸꦩ (tuma),ᜃᜓᜆᜓ (kuto),ಹೇನು (hēnu),பேன் (pēṉ),పేను (pēnu),উকুন (ukun),ढील (ḍhīl),louse,pou,જૂ (jū),जूँ (jū̃),شپش (šepeš),pidocchio,ऊ (ū),piolho,вошь (vošʹ),piojo,Laus,جوں (jū̃),جوں (jū̃),虱 (shirami),이 (i),เหา (hao),چَاوَا (chawa),蝨子 (shīzi),蝨子 (seq tsy),蝨 (sāt),بت (bit),𐲦𐲈𐲦𐲫 (tetű),zorri,täi,täi,veš,voš,𖬌𖬰𖬝 (tuv),wesz,lonsili,igwu,إِنَا (iná),كوتو (kutu),ᮊᮥᮒᮥ (kutu),бит (bit),قملة (qəmla),قملة (qəmla),جونءِ (jū̃i),جوں (jū̃),虱子 (sěqzi),虱 (sat),虱 (sat),虱婆子 (sāk-bó-tsǐ),ᠪᠥᠭᠡᠰᠦ (bögesü),သန်း (than),ଉକୁଣି (ukuṇi),जुम्रो (jumro),പേൻ (pēṉ),воша (voša),ψείρα (pseíra)
